GroupID,GroupName,ModelId,ModelName
3664,Vgoocars,603,Car_Maruti_Alto k10_Default_2019_P_MT
3854,VVIP_Police,1213,Car_Mahindra_Bolero_Default_2021_D_MT
3902,EVM_secondarydevice,1392,Car_MG_Hector_ZX_2019_P_MT
3902,EVM_secondarydevice,1245,Car_MG_zs EV_Exclusive_2022_EV_AT
1717,IndusGo,777,Car_Maruti_Swift_Zxi +_2018_P_MT
3809,Madikeri_Police,1112,Car_Mahindra_Scorpio_Default_2020_P_MT
3033,vidyuttech_API,1184,eRickshaw_Mahindra_Zor Grand_DV+_2022_EV_AT
3620,blrtrafficpolice,1308,Bike_Bajaj_Pulsar 150_Default_2023_P_MT
4961,Greaves_2W_Ampere,1843,eBike_Ampere_Magnus_Neo _2025_EV_AT
3451,LA5.IC.OPS,1125,BMS_Battery_TEST_Default_2021_EV_AT
3963,Tata_Demo,1272,Truck_Scania_Scania G410_Default_2020_D_MT
4428,IntelliOne,1278,VFD_Crompton Greaves_Crompton Greaves_Default_2022_EV_AT
3516,LA5.IC.HARDWARE,1213,Car_Mahindra_Bolero_Default_2021_D_MT
5026,Maverick_Motors,1586,Bike_Royal Enfield_Himalayan Scram 411_Default_2024_P_MT
8167,Niranjan_Billing,1789,eRickshaw_Omega_Seiki rage+_Default_2024_EV_AT
3902,EVM_secondarydevice,1414,Car_Volkswagen_Polo_Default_2021_P_AT
2595,la5.ic,43,Car_Ford_Figo_Default_2017_D_MT
2595,la5.ic,1252,Bus_Force_Tempo Traveller_Default_2021_D_MT
2595,la5.ic,1897,eBike_Rideriver_Gen1_indie_2023_EV_AT
2512,Livguard_Ver2,686,BMS_Livguard_48V_V1_2020_EV_AT
3052,TVS_Motors,553,Tata ace_Tata_Tata Ace_Default_2018_EV_AT
4428,IntelliOne,1149,BMS_Inverted_48V_V1_2022_EV_AT
3120,Inverted_energy,1892,BMS_Inverted_51V125AH_Daly500_2025_EV_AT
2595,la5.ic,1328,Bike_Honda_Honda CB 350_Default_2023_P_AT
2595,la5.ic,1444,Tata ace_Tata_Tata Ace_EV_2023_EV_AT
2208,Livguard,1149,BMS_Inverted_48V_V1_2022_EV_AT
3031,Turno,1184,eRickshaw_Mahindra_Zor Grand_DV+_2022_EV_AT
7751,Akasa,1953,BMS_Voltbee_VB-5100X_JBD500_2025_EV_AT
4991,Ambit_batteries,1580,BMS_Ambit_52V_JBD 500_2024_EV_AT
3429,Highflow_Industries,1171,BMS_Highflow_50V_Default_2022_EV_AT
2595,la5.ic,1318,eRickshaw_Etrio_TOURO MAX_Default_2023_EV_AT
2818,MBSI_PVT_LTD,1373,Bike_TVS_NTORQ_Default_2023_P_AT
6842,WHIZ_Electric,1752,eRickshaw_Euler_HiLoad_AT_2024_EV_AT
5293,BS_Devices_Simsterminated,1382,BMS_Inverted_51.6V_Inverted_Daly_2023_EV_AT
3633,Eastman,1755,BMS_Eastman_64V-150AH_JBD CAN 250_2024_EV_AT
3902,EVM_secondarydevice,743,Car_Datsun_Redi Go_Default_2021_P_MT
4247,HMC,1485,BMS_iPower_iPower_Daly 250_2023_EV_AT
3516,LA5.IC.HARDWARE,1285,eBike_Jitendra_JMT 1000 HS_Default_2022_EV_AT
1843,ORIX.IC,1325,Car_Maruti_Ertiga_Default_2023_P_MT
2862,E_ChargeUp,1663,BMS_Eastman_EM LFP S 51105 H_JBD CAN 250_2024_EV_AT
2595,la5.ic,1582,Car_MG_Comet_EV_2024_EV_AT
2818,MBSI_PVT_LTD,752,eRickshaw_Omega_Seiki rage+_Default_2021_EV_AT
2818,MBSI_PVT_LTD,116,Bike_Royal Enfield_Classic 350_Default_2017_P_MT
3902,EVM_secondarydevice,1367,Car_Volkswagen_Polo_GT TSI_2020_P_AT
1717,IndusGo,796,Car_Maruti_Alto_Default_2019_P_MT
3120,Inverted_energy,1578,BMS_Inverted_48V_SuperPower_Default_2024_EV_AT
2595,la5.ic,1739,BMS_Akira_51.2V 105AH_JBD500_2024_EV_AT
5909,LAF_International_Deployment,1737,eBike_Yamaha_Proto_Default_2024_EV_AT
3868,Metafin,1520,VFD_Crompton Greaves_VSR48-038 20CEB_Eicher_2023_EV_AT
3653,Noori_Travels,1528,Car_Maruti_Ciaz_Default_2024_CNG_AT
5170,shortterm_storage,1152,BMS_Stefen_48V_Default_2022_EV_AT
4385,city_Armed_Reserve,90,Car_Maruti_Eeco_Default_2017_D_MT
3902,EVM_secondarydevice,1411,Car_Nissan_Datsun Redi Go_Default_2019_P_AT
3623,Greenifit,562,eBike_HEROelectric_Optima_Eco_2019_EV_AT
9016,HalaMobility,1551,eRickshaw_Bajaj_Maxima_Cargo_2024_EV_AT
4070,KROPEX,1206,Car_Tata_Xpress -T_Electra_2022_EV_AT
1843,ORIX.IC,465,Car_Maruti_Swift_VDI_2018_D_MT
4257,Gensol,1113,Car_Tata_Xpress -T_Default_2021_EV_AT
4428,IntelliOne,1239,eRickshaw_MLR Auto_Eltra_City_SEG+Exicom_2023_EV_AT
7803,KakkarSmart,2069,BMS_Safeli_51.2V105AH_JBD250_2025_EV_AT
2595,la5.ic,866,Car_Hyundai_VENUE _Default_2021_P_MT
3868,Metafin,1498,VFD_INVT_GD200A_Default_2023_EV_AT
5855,demo.hero,850,Bike_Honda_Activa_6G_2020_P_MT
2595,la5.ic,1226,Bike_Royal Enfield_Interceptor 650_650_2021_P_MT
3015,MBSI_LA5,1136,Bike_Suzuki_VStrom_SF250_2021_P_MT
4113,zyngo,1073,eRickshaw_Piaggio_Ape E-Xtra FX_EV_2021_EV_AT
3024,ZyppElectric,1765,BMS_Likraft_51.2V 100Ah LFP_JBD 250_2024_EV_AT
2495,DMT,1152,BMS_Stefen_48V_Default_2022_EV_AT
2862,E_ChargeUp,1869,BMS_Inverted_51V105AH_JBD 500_2025_EV_AT
2595,la5.ic,782,Car_Maruti_Baleno_Default_2020_P_MT
2595,la5.ic,1979,BMS_Eastman_64V105Ah H JNCI_JBD 20S/100A_2025_EV_AT
2595,la5.ic,1348,Car_Skoda_KUSHAQ_Default_2021_P_AT
2595,la5.ic,1966,BMS_Neuron_51.2V _51.2V 230Ah_2025_EV_AT
5909,LAF_International_Deployment,1686,eBike_Ampere_Nexus_NXG_2024_EV_AT
3224,Loadshare,1137,eBike_HEROelectric_NYX e5_HX_2022_EV_AT
2595,la5.ic,1792,eBike_Rideriver_Gen2_Indie _2024_EV_AT
5026,Maverick_Motors,1588,Bike_Royal Enfield_Twin 650 Shotgun_Default_2024_P_MT
3015,MBSI_LA5,1181,Car_Tata_Xpress -T_Ziptron_2022_EV_AT
1843,ORIX.IC,2082,Car_Maruti_New Dzire_Default_2025_CNGP_MT
165,RoyalBrothers,1446,Bike_Honda_CB 200X_Default_2023_P_MT
5571,shizenenergy,1723,BMS_Shizenenergy_48.1V 150AH_JBD 21S 300A_2024_EV_AT
7293,Tamarind_Global,1864,Car_Toyota_Innova Crysta_Default_2024_D_MT
3902,EVM_secondarydevice,1065,Car_Tata_Punch_Default_2021_P_MT
2520,Greendrive,1452,eBike_Quantum_Bziness_Daly 500 BMS_2023_EV_AT
295,HWY Rider,1373,Bike_TVS_NTORQ_Default_2023_P_AT
7803,KakkarSmart,2050,BMS_Safeli_64V106AH_JBD 500_2025_EV_AT
7978,Marsmobility,1931,BMS_Marsmobility_51V100AH_Dally _2025_EV_AT
